"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Mar 05","29,05","35,55","36,24","29,05","20,53K","-19,66%"
"Fev 05","36,16","35,97","36,93","35,00","5,86K","2,90%"
"Jan 05","35,14","38,73","39,01","34,40","1,91K","-7,16%"
"Dez 04","37,85","36,93","39,29","36,66","7,84K","0,83%"
"Nov 04","37,54","38,04","38,87","36,93","3,39K","-1,31%"
"Out 04","38,04","33,63","38,32","32,65","4,29K","12,71%"
"Set 04","33,75","32,65","34,17","32,65","4,28K","2,43%"
"Ago 04","32,95","31,82","34,03","30,43","2,02K","3,55%"
"Jul 04","31,82","33,20","33,75","30,93","1,88K","-4,16%"
"Jun 04","33,20","31,54","34,03","31,29","4,27K","4,90%"
"Mai 04","31,65","28,33","31,76","28,19","3,78K","11,05%"
"Abr 04","28,50","26,14","28,88","25,48","3,56K","10,17%"
"Mar 04","25,87","22,13","28,50","22,13","10,33K","29,87%"
"Fev 04","19,92","17,96","19,92","17,15","1,16K","10,91%"
"Jan 04","17,96","17,71","19,37","17,43","0,65K","2,22%"
"Dez 03","17,57","17,29","17,84","16,46","2,07K","1,80%"
"Nov 03","17,26","15,77","17,37","15,49","1,38K","13,40%"
"Out 03","15,22","16,60","17,15","15,22","0,93K","-8,31%"
"Set 03","16,60","15,77","17,43","15,77","1,06K","7,17%"
"Ago 03","15,49","13,83","15,77","13,14","1,49K","12,00%"
"Jul 03","13,83","13,89","14,39","13,81","0,40K","0,00%"
"Jun 03","13,83","14,39","14,94","13,83","6,06K","-3,89%"
"Mai 03","14,39","14,38","14,94","14,11","1,65K","3,01%"
"Abr 03","13,97","13,56","13,97","13,00","0,84K","6,32%"
"Mar 03","13,14","11,90","13,33","11,76","0,51K","9,96%"
"Fev 03","11,95","12,42","12,48","11,90","2,59K","-3,78%"
"Jan 03","12,42","13,00","13,11","11,48","0,95K","-6,05%"
"Dez 02","13,22","13,28","13,42","12,73","0,67K","-0,97%"
"Nov 02","13,35","12,86","13,56","12,17","0,85K","2,85%"
"Out 02","12,98","10,79","13,14","10,65","0,73K","22,22%"
"Set 02","10,62","10,79","10,93","10,04","0,63K","-1,58%"
"Ago 02","10,79","10,51","11,34","10,24","0,79K","3,15%"
"Jul 02","10,46","10,53","11,34","9,68","2,15K","0,58%"
"Jun 02","10,40","11,18","11,32","9,68","3,10K","-6,98%"
"Mai 02","11,18","11,18","11,56","10,96","1,79K","-0,97%"
"Abr 02","11,29","11,07","11,76","10,52","1,21K","2,54%"
"Mar 02","11,01","11,34","11,62","10,90","2,59K","-2,91%"
"Fev 02","11,34","10,93","11,34","10,65","0,91K","2,44%"
"Jan 02","11,07","11,76","12,31","11,07","1,46K","-6,50%"
"Dez 01","11,84","11,20","12,01","11,07","5,60K","5,71%"
"Nov 01","11,20","10,65","12,31","10,65","4,27K","3,80%"
"Out 01","10,79","9,85","11,34","9,54","2,43K","8,33%"
"Set 01","9,96","12,53","12,73","8,88","1,74K","-20,51%"
"Ago 01","12,53","13,31","14,39","12,45","1,06K","-7,60%"
"Jul 01","13,56","14,28","15,08","12,59","1,02K","-5,04%"
"Jun 01","14,28","14,39","14,66","12,67","2,11K","1,20%"
"Mai 01","14,11","14,11","14,66","13,83","1,49K","-1,95%"
"Abr 01","14,39","13,56","14,39","13,00","0,72K","6,12%"
"Mar 01","13,56","13,83","14,44","13,33","0,87K","0,00%"
"Fev 01","13,56","14,94","15,08","12,73","1,29K","-5,77%"
"Jan 01","14,39","13,00","14,94","11,62","1,42K","10,69%"
"Dez 00","13,00","10,79","13,00","10,37","3,17K","20,82%"
"Nov 00","10,76","10,51","10,82","9,93","1,94K","2,38%"
"Out 00","10,51","41,80","53,67","8,99","2,37K","-75,65%"
"Set 00","43,16","39,42","43,44","39,42","0,30K","9,49%"
"Ago 00","39,42","37,07","39,56","37,07","0,02K","1,78%"
"Jul 00","38,73","31,82","40,39","31,82","0,04K","21,72%"
"Jun 00","31,82","25,45","31,82","25,18","0,12K","25,03%"
"Mai 00","25,45","26,28","26,56","24,62","0,02K","-3,16%"
"Abr 00","26,28","25,56","27,67","24,90","0,06K","3,26%"
"Mar 00","25,45","21,52","25,73","20,75","0,15K","29,58%"
"Fev 00","19,64","20,20","21,99","19,64","0,03K","-6,61%"
"Jan 00","21,03","22,08","22,13","20,20","0,03K","-4,76%"
"Dez 99","22,08","21,88","23,52","21,80","0,20K","-0,23%"
"Nov 99","22,13","21,03","23,52","21,03","0,29K","6,65%"
"Out 99","20,75","20,20","20,75","19,09","0,05K","1,37%"
