"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jun 09","1,38","1,51","1,61","1,35","9,46M","-8,00%"
"Mai 09","1,50","1,34","1,50","1,27","18,08M","14,50%"
"Abr 09","1,31","1,06","1,35","1,01","23,68M","23,58%"
"Mar 09","1,06","1,04","1,16","1,01","8,41M","0,00%"
"Fev 09","1,06","1,11","1,11","0,90","28,33M","-4,50%"
"Jan 09","1,11","1,06","1,29","1,05","8,66M","4,72%"
"Dez 08","1,06","1,20","1,20","0,95","26,04M","-11,67%"
"Nov 08","1,20","1,25","1,47","1,17","8,34M","-6,25%"
"Out 08","1,28","1,33","1,49","1,06","21,34M","-2,29%"
"Set 08","1,31","1,70","1,74","1,29","23,00M","-22,49%"
"Ago 08","1,69","1,87","1,91","1,65","20,74M","-9,63%"
"Jul 08","1,87","1,85","1,96","1,60","21,47M","0,00%"
"Jun 08","1,87","1,98","1,98","1,78","24,12M","-5,56%"
"Mai 08","1,98","2,01","2,11","1,89","32,43M","1,02%"
"Abr 08","1,96","1,80","1,96","1,72","20,42M","7,69%"
"Mar 08","1,82","2,03","2,05","1,75","21,38M","-11,22%"
"Fev 08","2,05","1,75","2,17","1,65","34,81M","17,14%"
"Jan 08","1,75","1,98","2,11","1,61","33,64M","-12,94%"
"Dez 07","2,01","2,26","2,31","1,90","37,09M","-11,06%"
"Nov 07","2,26","2,49","2,58","2,18","23,46M","-9,24%"
"Out 07","2,49","2,58","2,72","2,20","39,74M","-3,49%"
"Set 07","2,58","2,47","2,64","2,20","20,11M","4,45%"
"Ago 07","2,47","2,44","2,72","2,08","47,98M","0,82%"
"Jul 07","2,45","2,50","2,71","2,41","12,29M","0,00%"
"Jun 07","2,45","2,38","2,56","2,27","25,69M","3,81%"
"Mai 07","2,36","2,08","2,38","2,06","41,28M","13,46%"
"Abr 07","2,08","1,81","2,11","1,77","69,32M","11,83%"
"Mar 07","1,86","1,81","1,98","1,76","16,58M","-0,53%"
"Fev 07","1,87","1,82","2,02","1,75","34,32M","5,06%"
"Jan 07","1,78","1,56","1,81","1,55","34,43M","14,84%"
