"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jul 19","42,32","42,35","44,20","40,82","98,13M","0,62%"
"Jun 19","42,06","39,17","42,67","37,46","84,12M","7,27%"
"Mai 19","39,21","37,94","39,57","34,72","94,89M","3,35%"
"Abr 19","37,94","35,57","38,28","32,43","104,22M","7,66%"
"Mar 19","35,24","34,99","36,78","32,68","92,64M","1,41%"
"Fev 19","34,75","36,34","37,25","34,05","90,56M","-4,87%"
"Jan 19","36,53","33,72","37,12","32,16","105,58M","7,31%"
"Dez 18","34,04","31,33","34,11","30,37","70,73M","8,68%"
"Nov 18","31,32","30,27","31,87","28,38","81,20M","3,98%"
"Out 18","30,12","24,83","31,14","24,38","136,38M","21,30%"
"Set 18","24,83","22,42","25,23","21,73","84,23M","9,92%"
"Ago 18","22,59","24,66","25,30","22,39","71,33M","-8,43%"
"Jul 18","24,67","23,09","25,92","22,53","79,78M","5,11%"
"Jun 18","23,47","23,91","24,70","20,36","100,38M","-0,72%"
"Mai 18","23,64","25,50","27,33","22,78","122,46M","-9,04%"
"Abr 18","25,99","27,38","27,64","25,44","92,43M","-4,66%"
"Mar 18","27,26","27,58","28,73","26,21","75,61M","-0,29%"
"Fev 18","27,34","30,30","30,83","26,01","76,15M","-8,81%"
"Jan 18","29,98","28,32","30,40","27,43","59,67M","6,65%"
"Dez 17","28,11","26,78","28,26","25,56","61,23M","4,85%"
"Nov 17","26,81","27,46","28,58","25,62","92,78M","-1,61%"
"Out 17","27,25","28,51","30,28","26,88","73,84M","-4,35%"
"Set 17","28,49","24,49","28,75","24,13","90,21M","18,07%"
"Ago 17","24,13","23,18","24,85","22,64","72,62M","4,41%"
"Jul 17","23,11","21,69","23,89","21,24","54,53M","7,04%"
"Jun 17","21,59","20,89","21,91","20,55","63,35M","4,10%"
"Mai 17","20,74","21,14","23,40","18,88","101,95M","-1,94%"
"Abr 17","21,15","19,80","21,32","19,58","65,49M","6,82%"
"Mar 17","19,80","18,36","20,04","17,81","77,29M","9,15%"
"Fev 17","18,14","17,19","19,25","16,72","67,20M","6,96%"
"Jan 17","16,96","16,26","17,77","15,99","66,09M","3,10%"
"Dez 16","16,45","15,67","16,57","14,89","87,82M","3,39%"
"Nov 16","15,91","19,08","19,11","15,68","92,79M","-16,75%"
"Out 16","19,11","17,39","19,47","16,76","98,47M","10,33%"
"Set 16","17,32","17,96","18,70","16,96","65,46M","-4,26%"
"Ago 16","18,09","19,41","19,55","17,27","82,00M","-5,98%"
"Jul 16","19,24","16,87","19,52","16,55","88,19M","15,07%"
"Jun 16","16,72","14,71","16,92","14,54","90,97M","13,66%"
"Mai 16","14,71","14,52","15,77","13,95","86,77M","0,62%"
"Abr 16","14,62","14,27","15,73","13,23","105,80M","0,83%"
"Mar 16","14,50","12,77","15,89","12,55","140,28M","15,81%"
"Fev 16","12,52","12,17","13,03","11,02","87,08M","1,46%"
"Jan 16","12,34","11,66","12,46","11,09","93,41M","3,78%"
"Dez 15","11,89","12,14","13,05","11,72","112,61M","-2,06%"
"Nov 15","12,14","12,83","14,04","12,08","97,42M","-5,38%"
"Out 15","12,83","12,82","14,42","12,46","121,30M","0,55%"
"Set 15","12,76","13,12","14,24","12,30","117,07M","-5,48%"
"Ago 15","13,50","14,78","14,86","12,64","139,72M","-9,52%"
"Jul 15","14,92","15,59","16,22","14,18","93,29M","-3,62%"
"Jun 15","15,48","14,64","15,92","14,34","89,55M","5,74%"
"Mai 15","14,64","14,45","15,93","14,08","90,21M","1,95%"
"Abr 15","14,36","12,38","14,41","12,34","92,48M","16,84%"
"Mar 15","12,29","11,32","12,34","10,87","120,93M","8,19%"
"Fev 15","11,36","9,60","11,45","9,45","124,47M","19,33%"
"Jan 15","9,52","10,21","10,35","9,45","115,17M","-7,84%"
"Dez 14","10,33","10,31","10,39","9,43","90,96M","-0,10%"
"Nov 14","10,34","9,93","10,45","9,49","65,33M","3,30%"
"Out 14","10,01","9,42","10,23","8,82","113,74M","4,49%"
"Set 14","9,58","10,40","10,40","8,99","111,29M","-7,08%"
"Ago 14","10,31","9,22","10,36","9,10","88,11M","11,82%"
"Jul 14","9,22","9,58","9,99","9,17","90,41M","-3,25%"
"Jun 14","9,53","9,08","9,91","8,90","91,68M","4,84%"
"Mai 14","9,09","8,80","9,37","8,76","94,75M","3,18%"
"Abr 14","8,81","8,49","8,96","8,22","94,84M","3,53%"
"Mar 14","8,51","7,61","8,59","7,52","83,12M","11,53%"
"Fev 14","7,63","7,33","7,86","6,99","131,05M","4,09%"
"Jan 14","7,33","8,07","8,17","7,21","154,47M","-9,17%"
"Dez 13","8,07","8,21","8,44","7,82","93,15M","-2,18%"
"Nov 13","8,25","8,95","9,04","7,99","92,26M","-7,41%"
"Out 13","8,91","8,45","9,28","8,23","115,61M","6,20%"
"Set 13","8,39","7,62","9,40","7,62","142,45M","10,98%"
"Ago 13","7,56","8,00","8,74","7,35","142,95M","-5,03%"
"Jul 13","7,96","8,31","8,62","7,84","127,67M","-5,58%"
"Jun 13","8,43","9,82","9,95","8,31","153,21M","-13,98%"
"Mai 13","9,80","10,03","10,78","9,70","107,37M","-2,29%"
"Abr 13","10,03","9,67","10,03","9,07","150,46M","2,98%"
"Mar 13","9,74","9,60","9,84","9,08","115,40M","0,52%"
"Fev 13","9,69","10,30","10,31","9,36","98,62M","-5,46%"
"Jan 13","10,25","10,33","10,45","9,85","87,02M","-0,10%"
"Dez 12","10,26","10,14","10,46","9,92","74,68M","2,09%"
"Nov 12","10,05","9,66","10,24","9,47","82,15M","3,93%"
"Out 12","9,67","8,68","10,05","8,68","153,32M","10,77%"
"Set 12","8,73","8,63","9,58","8,41","119,42M","1,63%"
"Ago 12","8,59","7,87","8,81","7,54","151,35M","9,29%"
"Jul 12","7,86","7,19","8,00","6,74","121,44M","8,71%"
"Jun 12","7,23","7,40","7,81","6,85","103,59M","-2,82%"
