"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Dez 15","9,57","10,78","11,71","9,57","85,70M","-11,65%"
"Nov 15","10,83","10,72","12,00","10,41","63,30M","2,55%"
"Out 15","10,56","10,71","12,39","10,54","68,17M","-0,69%"
"Set 15","10,63","10,90","12,42","10,28","74,17M","-6,09%"
"Ago 15","11,32","12,07","12,38","10,36","85,31M","-8,94%"
"Jul 15","12,44","12,50","13,01","11,48","48,59M","-1,08%"
"Jun 15","12,57","11,69","12,85","11,50","54,90M","7,53%"
"Mai 15","11,69","13,45","13,73","11,69","41,15M","-12,73%"
"Abr 15","13,40","13,62","14,45","13,20","45,47M","-0,24%"
"Mar 15","13,43","13,86","14,04","12,36","48,32M","-3,12%"
"Fev 15","13,86","12,56","14,36","12,20","30,82M","11,98%"
"Jan 15","12,38","12,43","13,56","12,15","46,01M","-2,34%"
"Dez 14","12,68","13,68","13,75","11,41","45,58M","-8,48%"
"Nov 14","13,85","12,95","14,47","12,03","43,53M","4,66%"
"Out 14","13,23","12,46","14,43","10,73","85,00M","4,29%"
"Set 14","12,69","14,72","14,97","12,33","55,23M","-12,50%"
"Ago 14","14,50","12,72","14,80","12,54","59,24M","13,17%"
"Jul 14","12,81","11,72","13,38","11,52","36,81M","9,80%"
"Jun 14","11,67","11,60","12,68","11,34","36,72M","1,48%"
"Mai 14","11,50","12,25","13,15","11,50","53,83M","-6,64%"
"Abr 14","12,32","12,08","13,30","11,69","77,35M","1,96%"
"Mar 14","12,08","10,44","12,22","10,00","44,49M","15,38%"
"Fev 14","10,47","10,17","10,74","9,67","46,02M","2,33%"
"Jan 14","10,23","11,31","11,43","9,94","54,99M","-10,12%"
"Dez 13","11,38","11,89","12,27","10,72","64,42M","-5,89%"
"Nov 13","12,10","12,72","12,87","11,56","53,42M","-4,38%"
"Out 13","12,65","12,37","13,16","12,08","51,54M","4,17%"
"Set 13","12,14","11,22","12,88","10,88","81,85M","9,21%"
"Ago 13","11,12","10,97","11,36","10,31","58,59M","2,33%"
